Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\UZ_A_ADS5272\Project Outputs for UltraZohm_Analog_ADS5272\Pick Place\PickPlace_UltraZohm_Analog_ADS5272_3v01.txt

========================================================================================================================
File Design Information:

Date:       06.05.21
Time:       10:14
Revision:   9ecd2dc5ae1c4eb981d1dd545493f6c32bbad710
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                      Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                      
U4D         TSSO5X6-G14/X.3                55.7360      72.3177      55.7360   72.3177   58.5110   70.3677   90       TopLayer    OPA4344                      
U4C         TSSO5X6-G14/X.3                55.7360      88.2650      55.7360   88.2650   58.5110   86.3150   90       TopLayer    OPA4344                      
U4B         TSSO5X6-G14/X.3                76.3080      88.4220      76.3080   88.4220   79.0830   86.4720   90       TopLayer    OPA4344                      
U4A         TSSO5X6-G14/X.3                98.0540      82.1090      98.0540   82.1090   100.8290  80.1590   90       TopLayer    OPA4344                      
C70H        CAP_0603                       94.3850      16.4580      95.0850   16.4580   95.0850   16.4580   270      TopLayer    100nF                        
C70G        CAP_0603                       71.5250      16.8390      72.2250   16.8390   72.2250   16.8390   270      TopLayer    100nF                        
C70F        CAP_0603                       56.0070      24.0680      56.7070   24.0680   56.7070   24.0680   270      TopLayer    100nF                        
C70E        CAP_0603                       71.1820      37.0840      71.8820   37.0840   71.8820   37.0840   270      TopLayer    100nF                        
C70D        CAP_0603                       52.3500      65.5047      53.0500   65.5047   53.0500   65.5047   270      TopLayer    100nF                        
C70C        CAP_0603                       52.3500      81.4520      53.0500   81.4520   53.0500   81.4520   270      TopLayer    100nF                        
C70B        CAP_0603                       72.9220      81.6090      73.6220   81.6090   73.6220   81.6090   270      TopLayer    100nF                        
C70A        CAP_0603                       94.6680      75.2960      95.3680   75.2960   95.3680   75.2960   270      TopLayer    100nF                        
C69H        CAP_0603                       90.5750      17.0930      91.2750   17.0930   91.2750   17.0930   270      TopLayer    100nF                        
C69G        CAP_0603                       67.7150      17.4740      68.4150   17.4740   68.4150   17.4740   270      TopLayer    100nF                        
C69F        CAP_0603                       52.1970      24.7030      52.8970   24.7030   52.8970   24.7030   270      TopLayer    100nF                        
C69E        CAP_0603                       67.3720      37.7190      68.0720   37.7190   68.0720   37.7190   270      TopLayer    100nF                        
C69D        CAP_0603                       48.5400      66.1397      49.2400   66.1397   49.2400   66.1397   270      TopLayer    100nF                        
C69C        CAP_0603                       48.5400      82.0870      49.2400   82.0870   49.2400   82.0870   270      TopLayer    100nF                        
C69B        CAP_0603                       69.1120      82.2440      69.8120   82.2440   69.8120   82.2440   270      TopLayer    100nF                        
C69A        CAP_0603                       90.8580      75.9310      91.5580   75.9310   91.5580   75.9310   270      TopLayer    100nF                        
C68H        CAP_0603                       103.0210     23.5700      102.3210  23.5700   102.3210  23.5700   90       TopLayer    100nF                        
C68G        CAP_0603                       80.1610      23.9510      79.4610   23.9510   79.4610   23.9510   90       TopLayer    100nF                        
C68F        CAP_0603                       64.6430      31.1800      63.9430   31.1800   63.9430   31.1800   90       TopLayer    100nF                        
C68E        CAP_0603                       79.8180      44.1960      79.1180   44.1960   79.1180   44.1960   90       TopLayer    100nF                        
C68D        CAP_0603                       60.9860      72.6167      60.2860   72.6167   60.2860   72.6167   90       TopLayer    100nF                        
C68C        CAP_0603                       60.9860      88.5640      60.2860   88.5640   60.2860   88.5640   90       TopLayer    100nF                        
C68B        CAP_0603                       81.5580      88.7210      80.8580   88.7210   80.8580   88.7210   90       TopLayer    100nF                        
C68A        CAP_0603                       103.3040     82.4080      102.6040  82.4080   102.6040  82.4080   90       TopLayer    100nF                        
C35A        CAP_0603                       112.7744     59.4812      113.4744  59.4812   113.4744  59.4812   270      TopLayer    100nF                        
C35B        CAP_0603                       112.8391     37.3380      113.5391  37.3380   113.5391  37.3380   270      TopLayer    100nF                        
C36A        CAP_0603                       101.5069     68.1172      102.2069  68.1172   102.2069  68.1172   270      TopLayer    100nF                        
C36B        CAP_0603                       101.5716     45.9740      102.2716  45.9740   102.2716  45.9740   270      TopLayer    100nF                        
C37A        CAP_0603                       101.5099     65.2385      102.2099  65.2385   102.2099  65.2385   270      TopLayer    100nF                        
C37B        CAP_0603                       101.5746     43.0953      102.2746  43.0953   102.2746  43.0953   270      TopLayer    100nF                        
C38A        CAP_0603                       101.5069     62.3598      102.2069  62.3598   102.2069  62.3598   270      TopLayer    100nF                        
C38B        CAP_0603                       101.5716     40.2167      102.2716  40.2167   102.2716  40.2167   270      TopLayer    100nF                        
C39A        CAP_0603                       101.5099     59.4812      102.2099  59.4812   102.2099  59.4812   270      TopLayer    100nF                        
C39B        CAP_0603                       101.5746     37.3380      102.2746  37.3380   102.2746  37.3380   270      TopLayer    100nF                        
C41A        CAP_0603                       95.2500      55.4370      95.2500   54.7370   95.2500   54.7370   180      TopLayer    200pF                        
C41B        CAP_0603                       95.3147      33.2939      95.3147   32.5939   95.3147   32.5939   180      TopLayer    200pF                        
C42A        CAP_0603                       93.4720      56.9580      93.4720   56.2580   93.4720   56.2580   180      TopLayer    200pF                        
C42B        CAP_0603                       93.5367      34.8149      93.5367   34.1149   93.5367   34.1149   180      TopLayer    200pF                        
C43A        CAP_0603                       95.2500      58.3580      95.2500   57.6580   95.2500   57.6580   180      TopLayer    100pF                        
C43B        CAP_0603                       95.3147      36.2149      95.3147   35.5149   95.3147   35.5149   180      TopLayer    100pF                        
C45A        CAP_0603                       93.4720      59.7520      93.4720   59.0520   93.4720   59.0520   180      TopLayer    200pF                        
C45B        CAP_0603                       93.5367      37.6089      93.5367   36.9089   93.5367   36.9089   180      TopLayer    200pF                        
C47A        CAP_0603                       95.2500      61.1490      95.2500   60.4490   95.2500   60.4490   180      TopLayer    200pF                        
C47B        CAP_0603                       95.3147      39.0059      95.3147   38.3059   95.3147   38.3059   180      TopLayer    200pF                        
C48A        CAP_0603                       93.4720      62.5460      93.4720   61.8460   93.4720   61.8460   180      TopLayer    100pF                        
C49A        CAP_0603                       112.7744     62.3598      113.4744  62.3598   113.4744  62.3598   270      TopLayer    100nF                        
C49B        CAP_0603                       112.8391     40.2167      113.5391  40.2167   113.5391  40.2167   270      TopLayer    100nF                        
C50A        CAP_0603                       95.2500      63.9430      95.2500   63.2430   95.2500   63.2430   180      TopLayer    200pF                        
C50B        CAP_0603                       95.3147      41.7999      95.3147   41.0999   95.3147   41.0999   180      TopLayer    200pF                        
C51A        CAP_0603                       93.4720      65.3400      93.4720   64.6400   93.4720   64.6400   180      TopLayer    200pF                        
C51B        CAP_0603                       93.5367      43.1969      93.5367   42.4969   93.5367   42.4969   180      TopLayer    200pF                        
C52A        CAP_0603                       95.2500      66.7400      95.2500   66.0400   95.2500   66.0400   180      TopLayer    100pF                        
C52B        CAP_0603                       95.3147      44.5969      95.3147   43.8969   95.3147   43.8969   180      TopLayer    100pF                        
C54A        CAP_0603                       93.4720      68.1370      93.4720   67.4370   93.4720   67.4370   180      TopLayer    200pF                        
C54B        CAP_0603                       93.5367      45.9939      93.5367   45.2939   93.5367   45.2939   180      TopLayer    200pF                        
C64A        CAP_0603                       95.2500      52.6400      95.2500   51.9400   95.2500   51.9400   180      TopLayer    200pF                        
C64B        CAP_0603                       95.3147      30.4969      95.3147   29.7969   95.3147   29.7969   180      TopLayer    200pF                        
C65A        CAP_0603                       93.4720      54.0370      93.4720   53.3370   93.4720   53.3370   180      TopLayer    100pF                        
C65B        CAP_0603                       93.5367      31.8939      93.5367   31.1939   93.5367   31.1939   180      TopLayer    100pF                        
R31A        RES_0603                       97.7520      53.0860      96.9520   53.0860   96.9520   53.0860   90       TopLayer    48.7                         
R31B        RES_0603                       97.8167      30.9429      97.0167   30.9429   97.0167   30.9429   90       TopLayer    48.7                         
R32A        RES_0603                       116.6240     55.1180      115.8240  55.1180   115.8240  55.1180   90       TopLayer    39.2k                        
R32B        RES_0603                       116.6887     32.9749      115.8887  32.9749   115.8887  32.9749   90       TopLayer    39.2k                        
R33A        RES_0603                       116.6240     56.8180      115.8240  56.8180   115.8240  56.8180   90       TopLayer    39.2k                        
R33B        RES_0603                       116.6887     34.6749      115.8887  34.6749   115.8887  34.6749   90       TopLayer    39.2k                        
R34A        RES_0603                       97.7520      54.8640      96.9520   54.8640   96.9520   54.8640   90       TopLayer    48.7                         
R34B        RES_0603                       97.8167      32.7209      97.0167   32.7209   97.0167   32.7209   90       TopLayer    48.7                         
R37A        RES_0603                       97.7520      57.4240      96.9520   57.4240   96.9520   57.4240   90       TopLayer    48.7                         
R37B        RES_0603                       97.8167      35.2809      97.0167   35.2809   97.0167   35.2809   90       TopLayer    48.7                         
R38A        RES_0603                       116.6190     59.7100      115.8190  59.7100   115.8190  59.7100   90       TopLayer    39.2k                        
R38B        RES_0603                       116.6837     37.5669      115.8837  37.5669   115.8837  37.5669   90       TopLayer    39.2k                        
R39A        RES_0603                       116.6240     61.4100      115.8240  61.4100   115.8240  61.4100   90       TopLayer    39.2k                        
R39B        RES_0603                       116.6887     39.2669      115.8887  39.2669   115.8887  39.2669   90       TopLayer    39.2k                        
R40A        RES_0603                       97.7520      59.2510      96.9520   59.2510   96.9520   59.2510   90       TopLayer    48.7                         
R40B        RES_0603                       97.8167      37.1079      97.0167   37.1079   97.0167   37.1079   90       TopLayer    48.7                         
R43A        RES_0603                       97.7520      61.6650      96.9520   61.6650   96.9520   61.6650   90       TopLayer    48.7                         
R43B        RES_0603                       97.8167      39.5219      97.0167   39.5219   97.0167   39.5219   90       TopLayer    48.7                         
